Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Parent,Parent summary,Status Category,Status Category Changed
Wireframing & Figma Vistas Principales,SCRUM-29,10071,Task,In Progress,SCRUM,Turismo en Mendoza,software,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,Medium,,Magui Cobos,70121:921614ba-3e24-42c6-b37c-35b1389f9314,Emiliano Las Heras,604a3dea58aa8d00722ac5f8,Emiliano Las Heras,604a3dea58aa8d00722ac5f8,13/Apr/25 7:31 PM,14/Apr/25 7:00 PM,13/Apr/25 7:54 PM,,,0,"Se requiere de un wireframe o figma básico de las vistas principales involucradas

Las mismas vistas deben estar inspiradas en el branstorming incial que tuvimos.

* Vista de Log-in y Registracion
* Vista de inicio y mapa
* Vista de perfil de usuario y preferencias
* Settings page tab?
* lo anterior son sugerencias ([~accountid:604a3dea58aa8d00722ac5f8])

----

h3. Entregables

* Documento con los links de figma donde se vean los diseños de la aplicación. 
* Doc de figma donde se vean las vistas que [~accountid:70121:921614ba-3e24-42c6-b37c-35b1389f9314] determine necesarias para cumplir con los objetivos del sprint 1.",,Emiliano Las Heras,,,604a3dea58aa8d00722ac5f8,,,,,,,,,,,,SCRUM-30,SCRUM-31,SCRUM-33,SCRUM-32,,,,,,,,,,,,,purple,,,,,0|i00031:,,,Sprint 1,,,,,,,,,,,,,,10051,🎨 Diseño de vistas,In Progress,14/Apr/25 7:00 PM
Determinar contenido a mostrar en el mapa,SCRUM-28,10070,Task,To Do,SCRUM,Turismo en Mendoza,software,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,Medium,,Emiliano Las Heras,604a3dea58aa8d00722ac5f8,Magui Cobos,70121:921614ba-3e24-42c6-b37c-35b1389f9314,Magui Cobos,70121:921614ba-3e24-42c6-b37c-35b1389f9314,11/Apr/25 8:40 PM,13/Apr/25 8:21 PM,13/Apr/25 8:21 PM,,,0,,,Magui Cobos,,,70121:921614ba-3e24-42c6-b37c-35b1389f9314,,,,,,,,,,,SCRUM-14,,,,,,,,,,,,,,,,,,,,,,0|i0000b:r,,,Sprint 1,,,,,,,,,,,,,,10048,🗺️ Integrar los mapas a la app,To Do,11/Apr/25 8:40 PM
Determinar el tipo de layout del mapa,SCRUM-27,10069,Task,To Do,SCRUM,Turismo en Mendoza,software,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,Medium,,Emiliano Las Heras,604a3dea58aa8d00722ac5f8,Magui Cobos,70121:921614ba-3e24-42c6-b37c-35b1389f9314,Magui Cobos,70121:921614ba-3e24-42c6-b37c-35b1389f9314,11/Apr/25 8:40 PM,13/Apr/25 8:22 PM,13/Apr/25 8:21 PM,,,0,Con ayuda de [~accountid:70121:921614ba-3e24-42c6-b37c-35b1389f9314] y el theme+palette que se defina a nivel macro de la app.,,Magui Cobos,,,70121:921614ba-3e24-42c6-b37c-35b1389f9314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0000b:i,,,Sprint 1,,,,,,,,,,,,,,10048,🗺️ Integrar los mapas a la app,To Do,11/Apr/25 8:40 PM
Determinar la api de mapas,SCRUM-26,10068,Task,In Progress,SCRUM,Turismo en Mendoza,software,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,Highest,,Emiliano Las Heras,604a3dea58aa8d00722ac5f8,Magui Cobos,70121:921614ba-3e24-42c6-b37c-35b1389f9314,Magui Cobos,70121:921614ba-3e24-42c6-b37c-35b1389f9314,11/Apr/25 8:39 PM,13/Apr/25 8:37 PM,13/Apr/25 8:45 PM,,,0,,,Magui Cobos,,,70121:921614ba-3e24-42c6-b37c-35b1389f9314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|hzzzzl:x,,,Sprint 1,,,,,,,,,,,,,,10048,🗺️ Integrar los mapas a la app,In Progress,13/Apr/25 8:37 PM
🗃️ Creacion de base de datos,SCRUM-25,10067,Epic,To Do,SCRUM,Turismo en Mendoza,software,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,Medium,,,,Magui Cobos,70121:921614ba-3e24-42c6-b37c-35b1389f9314,Magui Cobos,70121:921614ba-3e24-42c6-b37c-35b1389f9314,11/Apr/25 8:36 PM,15/Apr/25 6:52 PM,13/Apr/25 8:07 PM,,08/May/25 12:00 AM,0,,,Magui Cobos,,,70121:921614ba-3e24-42c6-b37c-35b1389f9314,,,,,,,,,,,,,,,,,,,,,,,ghx-label-9,,,,,orange,,,,,0|i00039:,,,,13/Apr/25 12:00 AM,,,,,,,,,,,,,,,To Do,11/Apr/25 8:36 PM
Modelado de base de datos,SCRUM-24,10066,Task,Done,SCRUM,Turismo en Mendoza,software,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,Highest,Done,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,Magui Cobos,70121:921614ba-3e24-42c6-b37c-35b1389f9314,Magui Cobos,70121:921614ba-3e24-42c6-b37c-35b1389f9314,11/Apr/25 8:34 PM,15/Apr/25 1:15 PM,13/Apr/25 8:28 PM,14/Apr/25 3:01 PM,,0,"!image-20250415-161527.png|width=1431,height=871,alt=""image-20250415-161527.png""!",,Emiliano Las Heras,Magui Cobos,,604a3dea58aa8d00722ac5f8,70121:921614ba-3e24-42c6-b37c-35b1389f9314,,,,,,,,,,,SCRUM-15,,,,15/Apr/25 1:15 PM;ed8dd922-c8fa-4fe5-99c8-385a5de32e3e;image-20250415-161527.png;https://turisteando-en-mendoza.atlassian.net/rest/api/3/attachment/content/10038,,,,,,,,,,,,,,,,,0|i00036:z,,,Sprint 1,,,,,,,,,,2025-04-13 23:01:24.871,10000_*:*_1_*:*_234014126_*|*_10002_*:*_1_*:*_1395746_*|*_10001_*:*_2_*:*_3789359,"13/Apr/25 8:01 PM;604a3dea58aa8d00722ac5f8; [~accountid:712020:4fc00f68-7eec-4a29-a801-219aa96aa54e]
Probablemente convenga comenzar con los distintos artefactos de Modelado de Dominio de la aplicacion. En otras palabras, el UML que te dicta el *sistema de entidades, relaciones, atributos y funciones*.

Mis sugerencias son:

* *Entity Relationship Diagram (ERD)*. Atributos básicos. _ir actualizandolo conforme se actualicen los requerimientos de la aplicación._
* *Class Diagram*. Si querés mappear metodos atributos y entidades completas. Por ahi el anterior está mejor para empezar mas rapido a prototipar.
* Completementar con la  tarea [https://turisteando-en-mendoza.atlassian.net/browse/SCRUM-12|https://turisteando-en-mendoza.atlassian.net/browse/SCRUM-12|smart-link] en caso que se entreguen Diagramas de caso de uso y *comportamiento funcional*.
* Complementar con tareas que generen Diagramas de Secuencia o similares de definición en cuanto a *orden temporal* de la aplicacion.",13/Apr/25 8:04 PM;604a3dea58aa8d00722ac5f8;Se linkea la tarea de definicion de prefs de usuario ya que está correlacionado con como se modelará el mismo en terminos de base de datos.,10067,🗃️ Creacion de base de datos,Done,14/Apr/25 3:01 PM
📜 Creacion de artefactos y documentacion,SCRUM-23,10054,Epic,To Do,SCRUM,Turismo en Mendoza,software,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,Medium,,,,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,08/Apr/25 9:50 PM,15/Apr/25 6:58 PM,13/Apr/25 8:29 PM,,09/May/25 12:00 AM,0,,,Sebasti�n Cejas,,,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,,,,,,,,,,,,,,,,,,,,,,ghx-label-2,,,,,dark_yellow,,,,,0|i00037:,,,,13/Apr/25 12:00 AM,,,,,,,,,,,,,,,To Do,08/Apr/25 9:50 PM
👤 Integracion de sistema de usuarios,SCRUM-22,10053,Epic,To Do,SCRUM,Turismo en Mendoza,software,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,Medium,,,,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,08/Apr/25 9:49 PM,15/Apr/25 6:54 PM,13/Apr/25 8:08 PM,,24/May/25 12:00 AM,0,,,Sebasti�n Cejas,,,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,,,,,,,,,,,,,,,,,,,,,,ghx-label-6,,,,,green,,,,,0|i0003a:9,,,,26/Apr/25 12:00 AM,,,,,,,,,,,,,,,To Do,08/Apr/25 9:49 PM
⚠️ Interacciones con el usuario,SCRUM-21,10052,Epic,To Do,SCRUM,Turismo en Mendoza,software,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,Medium,,,,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,08/Apr/25 9:45 PM,15/Apr/25 6:54 PM,13/Apr/25 8:13 PM,,06/Jun/25 12:00 AM,0,,,Sebasti�n Cejas,,,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,,,,,,,,,,,,,,,,,,,,,,ghx-label-9,,,,,orange,,,,,0|i0003a:i,,,,25/May/25 12:00 AM,,,,,,,,,,,,,,,To Do,08/Apr/25 9:45 PM
🎨 Diseño de vistas,SCRUM-20,10051,Epic,To Do,SCRUM,Turismo en Mendoza,software,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,Medium,,,,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,08/Apr/25 9:45 PM,15/Apr/25 6:52 PM,13/Apr/25 8:07 PM,,09/May/25 12:00 AM,0,,,Emiliano Las Heras,Sebasti�n Cejas,,604a3dea58aa8d00722ac5f8,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,,,,,,,,,,,,,,,,,,,,,ghx-label-3,,,,,yellow,,,,,0|i0003a:,,,,13/Apr/25 12:00 AM,,,,,,,,,2025-04-13 22:26:36.202,,"13/Apr/25 7:26 PM;604a3dea58aa8d00722ac5f8;En esta epica se me ocurre que podríamos abarcar completamente el diseño de vistas en relación a sprint actual. Si el sprint actual habla de MAPAS y USUARIOS, podríamos empezar por esas vistas.

h3. Sugerencias:

* PREANALISIS. Definir las vistas de la aplicación (por lo menos del sprint actual). Por cada vista se debe definir:
** Objetivo principal de la vista. (tomar inspiracion de las reuniones que hemos tenido y flujos principales de actividad de la aplicación que generamos del brainstorm inicial)
** Alcance de la vista y restricciones de la vista. 
** Parametros y dependencias de la vista
* DISEÑO.
** *aca normalmente se hablaría de un diseño macro de la aplicación,* es decir, probablemente convendría armar toda la documentación necesaria respecto a *como nos imaginamos que se verá la aplicación* en terminos de paletas de colores, cantidad de vistas, cantidad y complejidad de la información mostrada, estructura general y tipo de materiales y texturas deseadas, etc. [~accountid:70121:921614ba-3e24-42c6-b37c-35b1389f9314] contame si esta bien o mal planteado esto
** Posteriormente, podríamos empezar a armar los *wireframes o figma* de las vistas. _Esto creo yo pero no se de diseño ni ux-ui, por lo que es una sugerencia nada mas._
** Actualmente se me ocurre que serán necesarias vistas o secciones para:
*** Homepage
*** Login Page / modal
*** Register Page / modal
*** Map Page (donde ocurriría la mayoría del uso, correlacionado a la epica [https://turisteando-en-mendoza.atlassian.net/browse/SCRUM-17|https://turisteando-en-mendoza.atlassian.net/browse/SCRUM-17|smart-link])
*** User Settings view
*** … y más",,,,To Do,08/Apr/25 9:45 PM
ℹ️ Integrar solicitudes del usuario,SCRUM-19,10050,Epic,To Do,SCRUM,Turismo en Mendoza,software,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,Medium,,,,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,08/Apr/25 9:42 PM,15/Apr/25 6:54 PM,13/Apr/25 8:09 PM,,23/May/25 12:00 AM,0,,,Sebasti�n Cejas,,,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,,,,,,,,,,,,,,,,,,,,,,ghx-label-8,,,,,dark_purple,,,,,0|i0003a:f,,,,11/May/25 12:00 AM,,,,,,,,,,,,,,,To Do,08/Apr/25 9:42 PM
🔍 Integrar busqueda y filtrado,SCRUM-18,10049,Epic,To Do,SCRUM,Turismo en Mendoza,software,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,Medium,,,,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,08/Apr/25 9:40 PM,15/Apr/25 6:53 PM,13/Apr/25 8:09 PM,,19/May/25 12:00 AM,0,,,Sebasti�n Cejas,,,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0003a:d,,,,27/Apr/25 12:00 AM,,,,,,,,,,,,,,,To Do,08/Apr/25 9:40 PM
🗺️ Integrar los mapas a la app,SCRUM-17,10048,Epic,To Do,SCRUM,Turismo en Mendoza,software,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,Medium,,,,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,08/Apr/25 9:39 PM,15/Apr/25 5:53 PM,13/Apr/25 8:08 PM,,10/May/25 12:00 AM,0,,,Sebasti�n Cejas,,,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,,,,,,,,,,,,,,,,,,,,,,ghx-label-10,,,,,blue,,,,,0|i0003a:b,,,,13/Apr/25 12:00 AM,,,,,,,,,,,,,,,To Do,08/Apr/25 9:39 PM
Identificacion de metricas utiles,SCRUM-16,10047,Task,To Do,SCRUM,Turismo en Mendoza,software,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,Medium,,,,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,08/Apr/25 9:35 PM,14/Apr/25 7:05 PM,16/Apr/25 12:45 AM,,,0,,,Emiliano Las Heras,Sebasti�n Cejas,,604a3dea58aa8d00722ac5f8,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0001l:x,,,Sprint 1,,,,,,,,,,2025-04-13 22:11:28.099,,"13/Apr/25 7:11 PM;604a3dea58aa8d00722ac5f8;
La identificacion de métricas, dependiendo del tipo, quizás convendría que esté dentro de el ERD o estudio de modelo del “perfil de usuario”, es decir, quizás conviene que la tarea actual sea un Deliverable de otra como la epica de “Integracion de sistema de usuarios” e “Integrar mapas a la app”, y así, conforme cada epica o tarea generar o predefinir un reporte de identificacion y exportacion de metricas utiles generadas",,10054,📜 Creacion de artefactos y documentacion,To Do,08/Apr/25 9:35 PM
Integrar Sistema Preferencias Usuario,SCRUM-15,10046,Task,To Do,SCRUM,Turismo en Mendoza,software,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,Medium,,,,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,08/Apr/25 9:30 PM,15/Apr/25 6:52 PM,13/Apr/25 8:05 PM,,,0,,,Sebasti�n Cejas,,,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,,,,,,,,,,SCRUM-24,,,,,,,,,,,,,,,,,,,,,,0|i0001l:y,,,Sprint 2,,,,,,,,,,,,,,10053,👤 Integracion de sistema de usuarios,To Do,08/Apr/25 9:30 PM
